date,HIS_all_norm,HIS_all_norm_MA12,HIS_threats_norm,HIS_threats_norm_MA12,HIS_acts_norm,HIS_acts_norm_MA12
1997-01,86.175731131346,,85.0042687922398,,75.8916826807587,
1997-02,73.0105389033102,,63.6987169677548,,62.0012567043346,
1997-03,70.0232418483307,,51.1539419868265,,69.7070894887433,
1997-04,89.3597086071151,,79.0265191506166,,80.4707810772496,
1997-05,85.8305833372897,,86.8274601351392,,79.6064142879196,
1997-06,45.876585922332,,41.8062891630158,,43.2077434166252,
1997-07,91.9291975688043,,77.4937457709813,,87.41266653578,
1997-08,154.191948467671,,115.543962820113,,158.042804033269,
1997-09,122.853891131447,,102.299955758371,,124.223587143475,
1997-10,67.5068799692415,,66.4966118323255,,56.6851168230122,
1997-11,68.9795723346843,,68.1108804573068,,59.2430943646982,
1997-12,85.5353166468768,86.77276632237071,72.4701153915679,75.82770568552151,83.1922845299088,81.64037675714785
1998-01,32.8895887248898,82.33225445516604,25.6285514229342,70.87972923807938,32.4292735048234,78.01850932581992
1998-02,54.9154338573675,80.82432903467081,44.5338441309984,69.28265650168302,55.4842809211538,77.47542801055484
1998-03,51.9553962287611,79.31867523304,37.4767024036668,68.14288653641971,49.1493232131729,75.76228082092398
1998-04,75.1222060157014,78.13221668375553,70.4278938345276,67.42633442674563,66.3313623699974,74.58399592865295
1998-05,44.0201495404852,74.64801386735516,28.942158414352,62.60255928334669,33.0538561399708,70.70461608299055
1998-06,38.3221007161099,74.01847343350332,42.6929382199149,62.67644670475496,33.7891832314016,69.91973606755526
1998-07,44.3512237592081,70.05364228270362,28.1006068669079,58.56035179608217,42.1617596556406,66.14882716087698
1998-08,38.4839806782821,60.41131163358789,31.9674052842486,51.59563866809347,37.8797749341186,56.13524140261444
1998-09,31.9038042844064,52.83213772966784,33.9610803632409,45.90073238516595,30.074548038798,48.28948814389135
1998-10,49.274868572723,51.31280344662463,40.2248541034954,43.71141924109678,47.9623411469018,47.56259017088215
1998-11,33.3342733089236,48.34236186114457,22.8667665482454,39.94107641534166,33.5768881280846,45.42373965116436
1998-12,42.6437306532488,44.76806302834223,32.4641229291507,36.60724371014023,35.9526518236115,41.48710359230625
1999-01,53.9496131755859,46.52306506590025,46.8679740523022,38.3771955959209,46.8355311826851,42.68762506546139
1999-02,62.8633290929124,47.18538966886232,51.6219520972985,38.96787125977924,60.8698236103237,43.13642028955888
1999-03,128.777119947668,53.58719997877123,113.932233505199,45.33916551824026,123.888702389095,49.36470188755239
1999-04,66.7606185590705,52.89040102405199,64.9417766093932,44.88198908281239,63.2111909637488,49.10468760369834
1999-05,99.409885763369,57.50621237595897,94.3456174558229,50.33227733626831,108.320917003575,55.37694267566536
1999-06,101.036157636322,62.73238378597665,92.8938884567802,54.51568985600707,113.343414678739,62.00646196294347
1999-07,46.9953147501614,62.95272470188943,26.6573187955646,54.3954158500618,38.6321218500081,61.71232547914077
1999-08,42.8629996115637,63.31764294632956,37.4390061412459,54.85138258814491,32.068363007851,61.2280411519518
1999-09,52.5346334892434,65.0368787133993,46.9880491627677,55.93696332143881,50.8811878559846,62.96192780338401
1999-10,47.1275301335429,64.85793384346763,36.1493815873036,55.59734061175616,41.5530652330931,62.42782147723329
1999-11,55.8611496829234,66.73517354130095,51.7120705488851,58.0011159451428,44.7413632095201,63.35819440068625
1999-12,42.4185547198783,66.71640888018675,37.7129869958248,58.4385212840323,42.3553861616606,63.89175559552368
2000-01,85.5902089748903,69.35312519679545,94.944444704535,62.44489383838504,80.3349853413196,66.68337677540988
